,lat,lng,counts,duration,dur_per_user
321,55.722774505615234,37.643890380859375,306,22190,72
322,55.72279357910156,37.56337356567383,1255,253108,201
323,55.72280502319336,37.563358306884766,852,70484,82
324,55.722808837890625,37.566192626953125,358,27404,76
325,55.72286605834961,37.56623840332031,1067,114096,106
326,55.72288131713867,37.56622314453125,1813,117007,64
327,55.723026275634766,37.607421875,251,13842,55
328,55.72309112548828,37.5704345703125,385,21577,56
329,55.72310256958008,37.57044982910156,458,31930,69
330,55.72312545776367,37.607460021972656,599,28491,47
331,55.72313690185547,37.60267639160156,1564,45917,29
332,55.723209381103516,37.57592010498047,1141,49451,43
333,55.723228454589844,37.57595443725586,1001,34503,34
334,55.72333526611328,37.61112976074219,927,59317,63
335,55.723365783691406,37.562191009521484,1041,51039,49
336,55.723365783691406,37.56220626831055,506,29009,57
337,55.72353744506836,37.565338134765625,2405,218874,91
338,55.72354507446289,37.565338134765625,1366,97700,71
339,55.72354507446289,37.611122131347656,1187,70926,59
340,55.72357177734375,37.69279861450195,1175,104882,89
341,55.72360610961914,37.58125686645508,617,46516,75
342,55.72361373901367,37.581241607666016,558,48538,86
343,55.72370910644531,37.572540283203125,938,77267,82
344,55.72371292114258,37.57959747314453,658,39445,59
345,55.72371292114258,37.579612731933594,776,78414,101
346,55.72372817993164,37.65983581542969,314,18794,59
347,55.7237548828125,37.622840881347656,1156,86336,74
348,55.7237548828125,37.631629943847656,929,139503,150
349,55.72376251220703,37.63176727294922,656,66873,101
350,55.723777770996094,37.56220626831055,2037,153113,75
351,55.72378158569336,37.65642166137695,1094,43152,39
352,55.72378921508789,37.562225341796875,2521,142539,56
353,55.72386932373047,37.60737228393555,148,6897,46
354,55.72392654418945,37.636749267578125,987,112404,113
355,55.72393798828125,37.607261657714844,1005,70883,70
356,55.72393798828125,37.63676834106445,754,50446,66
357,55.72406005859375,37.61650085449219,945,49930,52
358,55.72408676147461,37.5787239074707,753,38140,50
359,55.724098205566406,37.578739166259766,1300,73688,56
360,55.724178314208984,37.6597785949707,168,18640,110
361,55.724403381347656,37.56196212768555,772,43969,56
362,55.724552154541016,37.56391525268555,683,41642,60
363,55.72456359863281,37.56394577026367,1198,77848,64
364,55.7247200012207,37.629940032958984,1742,107169,61
365,55.72477722167969,37.60603713989258,2270,91573,40
366,55.72477722167969,37.60605239868164,424,26367,62
367,55.724796295166016,37.60605239868164,489,17952,36
368,55.72481155395508,37.55791473388672,514,41031,79
369,55.724891662597656,37.57514572143555,540,84533,156
370,55.725074768066406,37.56381607055664,962,136489,141
371,55.725074768066406,37.5638313293457,1745,234911,134
372,55.725154876708984,37.56535720825195,875,68488,78
373,55.72529220581055,37.57874298095703,1006,63505,63
374,55.72529983520508,37.56325149536133,4443,453711,102
375,55.72529983520508,37.578758239746094,994,42699,42
376,55.72530746459961,37.576053619384766,2764,144872,52
377,55.72532272338867,37.58842468261719,845,59164,70
378,55.72545623779297,37.56184768676758,815,60677,74
379,55.72548294067383,37.659446716308594,167,11792,70
380,55.7255744934082,37.59017562866211,1842,178188,96
381,55.725589752197266,37.607234954833984,1898,72056,37
382,55.72560119628906,37.607234954833984,2448,88774,36
383,55.725624084472656,37.56616973876953,1347,99317,73
384,55.72565460205078,37.63197708129883,1607,95365,59
385,55.72567367553711,37.65937805175781,236,19722,83
386,55.72568893432617,37.56632614135742,619,40242,65
387,55.7256965637207,37.636756896972656,1830,121852,66
388,55.72574234008789,37.56188201904297,138,8158,59
389,55.72575759887695,37.58716583251953,2109,211153,100
390,55.72576141357422,37.56186294555664,266,11378,42
391,55.725765228271484,37.58715057373047,2003,163928,81
392,55.72612380981445,37.62575149536133,1913,210583,110
393,55.726131439208984,37.625736236572266,2041,112770,55
394,55.72624588012695,37.56101989746094,1570,109823,69
395,55.72625732421875,37.56127166748047,387,17294,44
396,55.72632598876953,37.581764221191406,1265,82972,65
397,55.72637939453125,37.567909240722656,518,50053,96
398,55.72638702392578,37.566890716552734,548,39818,72
399,55.72639083862305,37.5789909362793,1325,99616,75
400,55.726402282714844,37.56692123413086,405,32257,79
401,55.7264289855957,37.65911102294922,68,8350,122
402,55.726505279541016,37.560245513916016,1419,76527,53
403,55.72652816772461,37.607295989990234,1927,65348,33
404,55.72652816772461,37.659454345703125,33,2960,89
405,55.72655487060547,37.560577392578125,591,43834,74
406,55.726593017578125,37.61016082763672,394,22072,56
407,55.72660446166992,37.56038284301758,564,25519,45
408,55.72666931152344,37.650108337402344,110,11844,107
409,55.726722717285156,37.58031463623047,2133,137235,64
410,55.72678756713867,37.609039306640625,2226,133146,59
411,55.72678756713867,37.6103630065918,434,15926,36
412,55.7267951965332,37.62881851196289,376,22250,59
413,55.72679901123047,37.609039306640625,3247,147912,45
414,55.72679901123047,37.650325775146484,172,7492,43
415,55.726806640625,37.62879943847656,768,77197,100
416,55.726810455322266,37.62063217163086,459,30147,65
417,55.72683334350586,37.62746047973633,5178,508301,98
418,55.726844787597656,37.62747573852539,3402,294987,86
419,55.726871490478516,37.586341857910156,1095,92984,84
420,55.72687530517578,37.56857681274414,975,112721,115
421,55.726932525634766,37.57843017578125,623,41343,66
422,55.72694396972656,37.57844543457031,1350,124531,92
423,55.72695541381836,37.582618713378906,2168,138982,64
424,55.72697067260742,37.61650466918945,781,41185,52
425,55.72697448730469,37.58264923095703,1199,58470,48
426,55.727012634277344,37.63620376586914,842,58289,69
427,55.727115631103516,37.62531661987305,5062,324414,64
